UG,NOME_UG,ICFEX,NOME_ICFEX,T_COMANDO,T_RM,T_CIDADE,PROGRAMA,ACAO,NOME_ACAO,UGR,NOME_UGR,PTRES,PI,NOME_PI,ND,NOME_ND,NDSI,NOME_NDSI,NE,ANO,DATA,CHAVE,FAV,NOME_CREDOR,UF_FAV,TIPO,DIAS,UF_UG,FONTE,MOD_LIC,TIPO_NE,RP,NOME_RP,TIPO_CREDITO,NOME_TIPO_CREDITO,PO,AUTOR_EMENDA,NOME_AUTOR_EMENDA,LOCAL,UO,NOME_UO,RADPI4,MEIPI3,SUFPI4,A_LIQUIDAR,LIQUIDADO_A_PAGAR,TOTAL_A_PAGAR,PAGO
167129,ESA,160533,"4º CGCFEX",CML,"4ª RM","Três Corações",0032,2004,"ASSISTENCIA MEDICA E ODONTOLOGICA AOS",167505,DGP,215842,D8SAFCTUGPD,"UNIDADE GESTORA DE PRODUCAO",339030,"MATERIAL DE CONSUMO",33903009,"MATERIAL FARMACOLOGICO",2024NE000244,2024,31/01/24,167129000012024NE000244,43595813000184,"IMPERIO PHARMA MEDICAMENTOS LTDA.",RJ,ANO,139,MG,1050000142,PREGAO,ORDINARIO,1,"PRIMARIO OBRIGATORIO",A,"INICIAL (LOA)",0003,000000000000,"SEM EMENDA","ESCOLA DE SARGENTOS DAS ARMAS",52921,"FUNDO DO EXERCITO",D8SA,FCT,UGPD,"0,00","0,00","0,00","729,20"
167129,ESA,160533,"4º CGCFEX",CML,"4ª RM","Três Corações",0032,2004,"ASSISTENCIA MEDICA E ODONTOLOGICA AOS",167505,DGP,215842,D8SAFCTUGPD,"UNIDADE GESTORA DE PRODUCAO",339030,"MATERIAL DE CONSUMO",33903009,"MATERIAL FARMACOLOGICO",2024NE000428,2024,08/03/24,167129000012024NE000428,13444848000151,"CIRURGICA MODELO COMERCIO DE MATERIAIS MEDICOS E HOSPI",SP,ANO,102,MG,1050000142,PREGAO,ORDINARIO,1,"PRIMARIO OBRIGATORIO",A,"INICIAL (LOA)",0003,000000000000,"SEM EMENDA","ESCOLA DE SARGENTOS DAS ARMAS - AV. SETE DE SETEMBRO, 628 - CENTRO, TRÊS CORAÇÕES - MG, 37410-155",52921,"FUNDO DO EXERCITO",D8SA,FCT,UGPD,"0,00","0,00","0,00","6.408,72"
167129,ESA,160533,"4º CGCFEX",CML,"4ª RM","Três Corações",0032,2004,"ASSISTENCIA MEDICA E ODONTOLOGICA AOS",167505,DGP,215842,D8SAFCTUGPD,"UNIDADE GESTORA DE PRODUCAO",339030,"MATERIAL DE CONSUMO",33903009,"MATERIAL FARMACOLOGICO",2024NE000745,2024,11/04/24,167129000012024NE000745,43595813000184,"IMPERIO PHARMA MEDICAMENTOS LTDA.",RJ,ANO,68,MG,1050000142,PREGAO,ORDINARIO,1,"PRIMARIO OBRIGATORIO",A,"INICIAL (LOA)",0003,000000000000,"SEM EMENDA","ESCOLA DE SARGENTOS DAS ARMAS - AV. SETE DE SETEMBRO, 628 - CENTRO, TRÊS CORAÇÕES - MG, 37410-155",52921,"FUNDO DO EXERCITO",D8SA,FCT,UGPD,"0,00","0,00","0,00","2.876,40"
167129,ESA,160533,"4º CGCFEX",CML,"4ª RM","Três Corações",0032,2004,"ASSISTENCIA MEDICA E ODONTOLOGICA AOS",167505,DGP,215842,D8SAFCTUGPD,"UNIDADE GESTORA DE PRODUCAO",339030,"MATERIAL DE CONSUMO",33903010,"MATERIAL ODONTOLOGICO",2024NE000919,2024,29/05/24,167129000012024NE000919,19231616000100,"R. DE F. TORRES MOLITERNO LTDA",SP,ANO,20,MG,1050000142,PREGAO,ORDINARIO,1,"PRIMARIO OBRIGATORIO",A,"INICIAL (LOA)",0003,000000000000,"SEM EMENDA","ESCOLA DE SARGENTOS DAS ARMAS - AV. SETE DE SETEMBRO, 628 - CENTRO, TRÊS CORAÇÕES - MG, 37410-155",52921,"FUNDO DO EXERCITO",D8SA,FCT,UGPD,"3.462,30","0,00","3.462,30","0,00"
167129,ESA,160533,"4º CGCFEX",CML,"4ª RM","Três Corações",0032,2004,"ASSISTENCIA MEDICA E ODONTOLOGICA AOS",167505,DGP,215842,D8SAFCTUGPD,"UNIDADE GESTORA DE PRODUCAO",339030,"MATERIAL DE CONSUMO",33903010,"MATERIAL ODONTOLOGICO",2024NE000920,2024,29/05/24,167129000012024NE000920,50541407000102,"THIAGO ALMEIDA DA SILVA LTDA",RJ,ANO,20,MG,1050000142,PREGAO,ORDINARIO,1,"PRIMARIO OBRIGATORIO",A,"INICIAL (LOA)",0003,000000000000,"SEM EMENDA","ESCOLA DE SARGENTOS DAS ARMAS - AV. SETE DE SETEMBRO, 628 - CENTRO, TRÊS CORAÇÕES - MG, 37410-155",52921,"FUNDO DO EXERCITO",D8SA,FCT,UGPD,"1.673,35","0,00","1.673,35","0,00"
167129,ESA,160533,"4º CGCFEX",CML,"4ª RM","Três Corações",0032,2004,"ASSISTENCIA MEDICA E ODONTOLOGICA AOS",167505,DGP,215842,D8SAFCTUGPD,"UNIDADE GESTORA DE PRODUCAO",339030,"MATERIAL DE CONSUMO",33903010,"MATERIAL ODONTOLOGICO",2024NE000921,2024,29/05/24,167129000012024NE000921,19807546000187,"STAR MEDICAL RJ COMERCIO DE PRODUTOS HOSPITALARES LTDA",RJ,ANO,20,MG,1050000142,PREGAO,ORDINARIO,1,"PRIMARIO OBRIGATORIO",A,"INICIAL (LOA)",0003,000000000000,"SEM EMENDA","ESCOLA DE SARGENTOS DAS ARMAS - AV. SETE DE SETEMBRO, 628 - CENTRO, TRÊS CORAÇÕES - MG, 37410-155",52921,"FUNDO DO EXERCITO",D8SA,FCT,UGPD,"690,00","0,00","690,00","0,00"
167129,ESA,160533,"4º CGCFEX",CML,"4ª RM","Três Corações",0032,2004,"ASSISTENCIA MEDICA E ODONTOLOGICA AOS",167505,DGP,215842,D8SAFCTUGPD,"UNIDADE GESTORA DE PRODUCAO",339030,"MATERIAL DE CONSUMO",33903011,"MATERIAL QUIMICO",2024NE000584,2024,27/03/24,167129000012024NE000584,16926786000102,"REAG-LAB COMERCIO DE PRODUTOS MEDICOS E HOSPITALARES L",RJ,ANO,83,MG,1050000142,PREGAO,ORDINARIO,1,"PRIMARIO OBRIGATORIO",A,"INICIAL (LOA)",0003,000000000000,"SEM EMENDA","ESCOLA DE SARGENTOS DAS ARMAS - AV. SETE DE SETEMBRO, 628 - CENTRO, TRÊS CORAÇÕES - MG, 37410-155",52921,"FUNDO DO EXERCITO",D8SA,FCT,UGPD,"0,00","0,00","0,00","612,30"
167129,ESA,160533,"4º CGCFEX",CML,"4ª RM","Três Corações",0032,2004,"ASSISTENCIA MEDICA E ODONTOLOGICA AOS",167505,DGP,215842,D8SAFCTUGPD,"UNIDADE GESTORA DE PRODUCAO",339030,"MATERIAL DE CONSUMO",33903011,"MATERIAL QUIMICO",2024NE000736,2024,09/04/24,167129000012024NE000736,06867357000158,"DISTRIBUIDORA PARANHOS ARTIGOS PARA LABORATORIOS LTDA",MG,ANO,70,MG,1050000142,PREGAO,ORDINARIO,1,"PRIMARIO OBRIGATORIO",A,"INICIAL (LOA)",0003,000000000000,"SEM EMENDA","ESCOLA DE SARGENTOS DAS ARMAS - AV. SETE DE SETEMBRO, 628 - CENTRO, TRÊS CORAÇÕES - MG, 37410-155",52921,"FUNDO DO EXERCITO",D8SA,FCT,UGPD,"0,00","0,00","0,00","3.280,00"
167129,ESA,160533,"4º CGCFEX",CML,"4ª RM","Três Corações",0032,2004,"ASSISTENCIA MEDICA E ODONTOLOGICA AOS",167505,DGP,215842,D8SAFCTUGPD,"UNIDADE GESTORA DE PRODUCAO",339030,"MATERIAL DE CONSUMO",33903011,"MATERIAL QUIMICO",2024NE000746,2024,12/04/24,167129000012024NE000746,13977106000191,"EBD BIOTECH IMPORTACAO E COMERCIO DE PRODUTOS MEDICOS H",MG,ANO,67,MG,1050000142,PREGAO,ORDINARIO,1,"PRIMARIO OBRIGATORIO",A,"INICIAL (LOA)",0003,000000000000,"SEM EMENDA","ESCOLA DE SARGENTOS DAS ARMAS - AV. SETE DE SETEMBRO, 628 - CENTRO, TRÊS CORAÇÕES - MG, 37410-155",52921,"FUNDO DO EXERCITO",D8SA,FCT,UGPD,"0,00","0,00","0,00","6.000,00"
167129,ESA,160533,"4º CGCFEX",CML,"4ª RM","Três Corações",0032,2004,"ASSISTENCIA MEDICA E ODONTOLOGICA AOS",167505,DGP,215842,D8SAFCTUGPD,"UNIDADE GESTORA DE PRODUCAO",339030,"MATERIAL DE CONSUMO",33903011,"MATERIAL QUIMICO",2024NE000882,2024,15/05/24,167129000012024NE000882,30379344000114,"RG DISTRIBUIDORA DE PRODUTOS LABORATORIAIS E HOSPITALAR",MG,ANO,34,MG,1050000142,PREGAO,ORDINARIO,1,"PRIMARIO OBRIGATORIO",A,"INICIAL (LOA)",0003,000000000000,"SEM EMENDA","ESCOLA DE SARGENTOS DAS ARMAS - AV. SETE DE SETEMBRO, 628 - CENTRO, TRÊS CORAÇÕES - MG, 37410-155",52921,"FUNDO DO EXERCITO",D8SA,FCT,UGPD,"2.116,55","0,00","2.116,55","0,00"
