UG,SIGLA,CGCFEX,RM,COMANDO,CIDADE,UF,PROGRAMA,AÇÃO,"NOME ACAO",UGR,"NOME UGR",PTRES,PI,"RADICAL 4 PI","MEIO 3 PI","SUFIXO 4 PI","NOME PI",ND,"NOME ND",NDSI,"NOME NDSI",NE,ANO,DATA,CHAVE,FAV,"NOME CREDOR","UF FAV",TIPO,DIAS,"UF UG",FONTE,"MOD LIC","TIPO NE",RP,"NOME RP","TIPO CREDITO","NOME TIPO CREDITO",PO,"AUTOR EMENDA","NOME AUTOR EMENDA",LOCAL,"NOME UO",UO,"A LIQUIDAR","LIQUIDADO A PAGAR","TOTAL A PAGAR",PAGO
160129,ESA,"4º CGCFEx","4ª RM",CML,"Três Corações",MG,0032,2000,"ADMINISTRACAO DA UNIDADE",160073,DGO,171460,I3DACNTLICO,I3DA,CNT,LICO,"LIMPEZA DE BENS IMÓVEIS",339037,"LOCACAO DE MAO-DE-OBRA",33903702,"LIMPEZA E CONSERVACAO",2024NE000071,2024,14/02/24,160129000012024NE000071,39750831000116,"ECOLIMP SERVICOS GERAIS LTDA",RJ,RPNP,399,MG,1000000000,PREGAO,GLOBAL,2,"PRIMARIO DISCRICIONARIO",A,"INICIAL (LOA)",0004,000000000000,"SEM EMENDA","ESCOLA DE SARGENTOS DAS ARMAS - AV. SETE DE SETEMBRO, 628 - CENTRO, TRES CORACOES - MG, 37410-155","COMANDO DO EXERCITO",52121,"0,00","0,00","0,00","339,00"
160129,ESA,"4º CGCFEx","4ª RM",CML,"Três Corações",MG,0032,2000,"ADMINISTRACAO DA UNIDADE",160073,DGO,171460,I3DACNTLICO,I3DA,CNT,LICO,"LIMPEZA DE BENS IMÓVEIS",339037,"LOCACAO DE MAO-DE-OBRA",33903702,"LIMPEZA E CONSERVACAO",2024NE000359,2024,10/04/24,160129000012024NE000359,39750831000116,"ECOLIMP SERVICOS GERAIS LTDA",RJ,RPNP,343,MG,1000000000,PREGAO,GLOBAL,2,"PRIMARIO DISCRICIONARIO",A,"INICIAL (LOA)",0004,000000000000,"SEM EMENDA","ESCOLA DE SARGENTOS DAS ARMAS - AV. SETE DE SETEMBRO, 628 - CENTRO, TRES CORACOES - MG, 37410-155","COMANDO DO EXERCITO",52121,"0,00","0,00","0,00","98.050,23"
160129,ESA,"4º CGCFEx","4ª RM",CML,"Três Corações",MG,0032,2000,"ADMINISTRACAO DA UNIDADE",160073,DGO,171460,I3DACNTLICO,I3DA,CNT,LICO,"LIMPEZA DE BENS IMÓVEIS",339037,"LOCACAO DE MAO-DE-OBRA",33903702,"LIMPEZA E CONSERVACAO",2024NE000902,2024,01/08/24,160129000012024NE000902,13081240000100,"SIGMA-SERVICOS TERCEIRIZADOS LTDA",PR,RPNP,230,MG,1000000000,PREGAO,GLOBAL,2,"PRIMARIO DISCRICIONARIO",A,"INICIAL (LOA)",0004,000000000000,"SEM EMENDA","ESCOLA DE SARGENTOS DAS ARMAS - AV. SETE DE SETEMBRO, 628 - CENTRO, TRES CORACOES - MG, 37410-155","COMANDO DO EXERCITO",52121,"0,00","0,00","0,00","41.497,34"
160129,ESA,"4º CGCFEx","4ª RM",CML,"Três Corações",MG,0032,2000,"ADMINISTRACAO DA UNIDADE",160073,DGO,171460,I3DACNTLICO,I3DA,CNT,LICO,"LIMPEZA DE BENS IMÓVEIS",339037,"LOCACAO DE MAO-DE-OBRA",33903702,"LIMPEZA E CONSERVACAO",2025NE000002,2025,15/01/25,160129000012025NE000002,39750831000116,"ECOLIMP SERVICOS GERAIS LTDA",RJ,ANO,63,MG,1000000000,PREGAO,GLOBAL,2,"PRIMARIO DISCRICIONARIO",A,"INICIAL (LOA)",0004,000000000000,"SEM EMENDA","ESCOLA DE SARGENTOS DAS ARMAS - AV. SETE DE SETEMBRO, 628 - CENTRO, TRÊS CORAÇÕES - MG, 37410-155","COMANDO DO EXERCITO",52121,"26.279,57","3.161,42","29.440,99","6.613,84"
160129,ESA,"4º CGCFEx","4ª RM",CML,"Três Corações",MG,0032,2000,"ADMINISTRACAO DA UNIDADE",160073,DGO,171460,I3DACNTLICO,I3DA,CNT,LICO,"LIMPEZA DE BENS IMÓVEIS",339037,"LOCACAO DE MAO-DE-OBRA",33903702,"LIMPEZA E CONSERVACAO",2025NE000003,2025,15/01/25,160129000012025NE000003,13081240000100,"SIGMA-SERVICOS TERCEIRIZADOS LTDA",PR,ANO,63,MG,1000000000,PREGAO,GLOBAL,2,"PRIMARIO DISCRICIONARIO",A,"INICIAL (LOA)",0004,000000000000,"SEM EMENDA","ESCOLA DE SARGENTOS DAS ARMAS - AV. SETE DE SETEMBRO, 628 - CENTRO, TRÊS CORAÇÕES - MG, 37410-155","COMANDO DO EXERCITO",52121,"0,00","0,00","0,00","41.497,34"
160129,ESA,"4º CGCFEx","4ª RM",CML,"Três Corações",MG,0032,2000,"ADMINISTRACAO DA UNIDADE",160073,DGO,171460,I3DACNTLICO,I3DA,CNT,LICO,"LIMPEZA DE BENS IMÓVEIS",339037,"LOCACAO DE MAO-DE-OBRA",33903702,"LIMPEZA E CONSERVACAO",2025NE000061,2025,13/02/25,160129000012025NE000061,13081240000100,"SIGMA-SERVICOS TERCEIRIZADOS LTDA",PR,ANO,34,MG,1000000000,PREGAO,GLOBAL,2,"PRIMARIO DISCRICIONARIO",A,"INICIAL (LOA)",0004,000000000000,"SEM EMENDA","ESCOLA DE SARGENTOS DAS ARMAS","COMANDO DO EXERCITO",52121,"0,00","41.497,34","41.497,34","0,00"
160129,ESA,"4º CGCFEx","4ª RM",CML,"Três Corações",MG,0032,2000,"ADMINISTRACAO DA UNIDADE",160073,DGO,171460,I3DACNTLICO,I3DA,CNT,LICO,"LIMPEZA DE BENS IMÓVEIS",339037,"LOCACAO DE MAO-DE-OBRA",33903702,"LIMPEZA E CONSERVACAO",2025NE000062,2025,13/02/25,160129000012025NE000062,39750831000116,"ECOLIMP SERVICOS GERAIS LTDA",RJ,ANO,34,MG,1000000000,PREGAO,GLOBAL,2,"PRIMARIO DISCRICIONARIO",A,"INICIAL (LOA)",0004,000000000000,"SEM EMENDA","ESCOLA DE SARGENTOS DAS ARMAS","COMANDO DO EXERCITO",52121,"36.054,83","0,00","36.054,83","0,00"
160129,ESA,"4º CGCFEx","4ª RM",CML,"Três Corações",MG,0032,2000,"ADMINISTRACAO DA UNIDADE",160073,DGO,171460,I3DACNTMABM,I3DA,CNT,MABM,"MNT DE MÁQ E EQP ADMINISTRATIVOS",339039,"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA",33903917,"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS",2024NE000365,2024,10/04/24,160129000012024NE000365,05872523000141,"AEF - MANUTENCAO EM EQUIPAMENTOS INDUSTRIAIS LTDA",MG,RPNP,343,MG,1000000000,PREGAO,GLOBAL,2,"PRIMARIO DISCRICIONARIO",A,"INICIAL (LOA)",0004,000000000000,"SEM EMENDA","ESCOLA DE SARGENTOS DAS ARMAS","COMANDO DO EXERCITO",52121,"4.298,80","0,00","4.298,80","0,00"
160129,ESA,"4º CGCFEx","4ª RM",CML,"Três Corações",MG,0032,2000,"ADMINISTRACAO DA UNIDADE",160073,DGO,171460,I3DACNTMABM,I3DA,CNT,MABM,"MNT DE MÁQ E EQP ADMINISTRATIVOS",339039,"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA",33903917,"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS",2024NE000365,2024,10/04/24,160129000012024NE000365,05872523000141,"AEF - MANUTENCAO EM EQUIPAMENTOS INDUSTRIAIS LTDA",MG,RPP,343,MG,1000000000,PREGAO,GLOBAL,2,"PRIMARIO DISCRICIONARIO",A,"INICIAL (LOA)",0004,000000000000,"SEM EMENDA","ESCOLA DE SARGENTOS DAS ARMAS","COMANDO DO EXERCITO",52121,"0,00","0,00","0,00","8.290,47"
160129,ESA,"4º CGCFEx","4ª RM",CML,"Três Corações",MG,0032,2000,"ADMINISTRACAO DA UNIDADE",160073,DGO,171460,I3DACNTMABM,I3DA,CNT,MABM,"MNT DE MÁQ E EQP ADMINISTRATIVOS",339039,"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA",33903917,"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS",2025NE000056,2025,12/02/25,160129000012025NE000056,56062746000184,"JHP SCIENTIFIC MANUTENCAO DE MAQUINAS E APARELHOS INDU",SP,ANO,35,MG,1000000000,PREGAO,GLOBAL,2,"PRIMARIO DISCRICIONARIO",A,"INICIAL (LOA)",0004,000000000000,"SEM EMENDA","ESCOLA DE SARGENTOS DAS ARMAS - AV. SETE DE SETEMBRO, 628 - CENTRO, TRÊS CORAÇÕES - MG, 37410-155","COMANDO DO EXERCITO",52121,"11.600,00","0,00","11.600,00","0,00"
