,UG,SIGLA,CGCFEX,RM,COMANDO,CIDADE,UF,PROGRAMA,AÇÃO,NOME_ACAO,UGR,NOME_UGR,PTRES,PI,RADICAL_4_PI,MEIO_3_PI,SUFIXO_4_PI,NOME_PI,ND,NOME_ND,NDSI,NOME_NDSI,NE,ANO,DATA,CHAVE,FAV,NOME_CREDOR,UF_FAV,TIPO,DIAS,UF_UG,FONTE,MOD_LIC,TIPO_NE,RP,NOME_RP,TIPO_CREDITO,NOME_TIPO_CREDITO,PO,AUTOR_EMENDA,NOME_AUTOR_EMENDA,LOCAL,NOME_UO,UO,A_LIQUIDAR,LIQUIDADO_A_PAGAR,TOTAL_A_PAGAR,PAGO
153,160129,ESA,4º CGCFEx,4ª RM,CML,Três Corações,MG,0032,2000,ADMINISTRACAO DA UNIDADE,160073,DGO,171460,I3FPPREDEGE,I3FP,PRE,DEGE,DESPESAS GERAIS DAS UGE - GESTÃO EME.,339033,PASSAGENS E DESPESAS COM LOCOMOCAO,33903309,TRANSPORTE DE SERVIDORES,2024NE000342,2024,2024-04-04,160129000012024NE000342,92221589000176,IRMAOS KOPERECK LTDA,RS,ANO,215,MG,1000000000,PREGAO,GLOBAL,2,PRIMARIO DISCRICIONARIO,A,INICIAL (LOA),0004,000000000000,SEM EMENDA,"ESCOLA DE SARGENTOS DAS ARMAS - AV. SETE DE SETEMBRO, 628 - CENTRO, TRÊS CORAÇÕES - MG, 37410-155",COMANDO DO EXERCITO,52121,0.0,0.0,0.0,24225.0
181,160129,ESA,4º CGCFEx,4ª RM,CML,Três Corações,MG,0032,2000,ADMINISTRACAO DA UNIDADE,160505,DGP,171404,D5ATIVSAREX,D5AT,IVS,AREX,CRÉDITO PARA CUTEAR ATIVIDADES DO SAREX,339033,PASSAGENS E DESPESAS COM LOCOMOCAO,33903301,PASSAGENS PARA O PAIS,2024NE000339,2024,2024-04-03,160129000012024NE000339,21331404000138,ORLEANS VIAGENS E TURISMO LTDA,SP,ANO,216,MG,1000000000,PREGAO,GLOBAL,2,PRIMARIO DISCRICIONARIO,A,INICIAL (LOA),000A,000000000000,SEM EMENDA,ESA,COMANDO DO EXERCITO,52121,0.0,0.0,0.0,1181.66
182,160129,ESA,4º CGCFEx,4ª RM,CML,Três Corações,MG,0032,2000,ADMINISTRACAO DA UNIDADE,160505,DGP,171404,DF5SCHEADID,DF5S,CHE,ADID,ESTAGIO DE PREP P MISSAO DE ADIDOS E AUX,339033,PASSAGENS E DESPESAS COM LOCOMOCAO,33903301,PASSAGENS PARA O PAIS,2024NE000391,2024,2024-04-17,160129000012024NE000391,21331404000138,ORLEANS VIAGENS E TURISMO LTDA,SP,ANO,202,MG,1000000000,PREGAO,GLOBAL,2,PRIMARIO DISCRICIONARIO,A,INICIAL (LOA),000A,000000000000,SEM EMENDA,ESA,COMANDO DO EXERCITO,52121,0.0,0.0,0.0,320.45
183,160129,ESA,4º CGCFEx,4ª RM,CML,Três Corações,MG,0032,2000,ADMINISTRACAO DA UNIDADE,160505,DGP,171404,DF5SCHEADID,DF5S,CHE,ADID,ESTAGIO DE PREP P MISSAO DE ADIDOS E AUX,339033,PASSAGENS E DESPESAS COM LOCOMOCAO,33903301,PASSAGENS PARA O PAIS,2024NE000392,2024,2024-04-17,160129000012024NE000392,21331404000138,ORLEANS VIAGENS E TURISMO LTDA,SP,ANO,202,MG,1000000000,PREGAO,GLOBAL,2,PRIMARIO DISCRICIONARIO,A,INICIAL (LOA),000A,000000000000,SEM EMENDA,ESA,COMANDO DO EXERCITO,52121,0.0,0.0,0.0,320.45
184,160129,ESA,4º CGCFEx,4ª RM,CML,Três Corações,MG,0032,2000,ADMINISTRACAO DA UNIDADE,160505,DGP,171404,DF5SCHEADID,DF5S,CHE,ADID,ESTAGIO DE PREP P MISSAO DE ADIDOS E AUX,339033,PASSAGENS E DESPESAS COM LOCOMOCAO,33903301,PASSAGENS PARA O PAIS,2024NE000806,2024,2024-07-02,160129000012024NE000806,14807420000199,FACTO TURISMO  LTDA,SP,ANO,126,MG,1000000000,PREGAO,GLOBAL,2,PRIMARIO DISCRICIONARIO,A,INICIAL (LOA),000A,000000000000,SEM EMENDA,ESA,COMANDO DO EXERCITO,52121,0.0,0.0,0.0,1648.08
185,160129,ESA,4º CGCFEx,4ª RM,CML,Três Corações,MG,0032,2000,ADMINISTRACAO DA UNIDADE,160505,DGP,171404,DF5SCHEADID,DF5S,CHE,ADID,ESTAGIO DE PREP P MISSAO DE ADIDOS E AUX,339033,PASSAGENS E DESPESAS COM LOCOMOCAO,33903301,PASSAGENS PARA O PAIS,2024NE000807,2024,2024-07-02,160129000012024NE000807,14807420000199,FACTO TURISMO  LTDA,SP,ANO,126,MG,1000000000,PREGAO,GLOBAL,2,PRIMARIO DISCRICIONARIO,A,INICIAL (LOA),000A,000000000000,SEM EMENDA,ESA,COMANDO DO EXERCITO,52121,0.0,0.0,0.0,1648.08
186,160129,ESA,4º CGCFEx,4ª RM,CML,Três Corações,MG,0032,2000,ADMINISTRACAO DA UNIDADE,160505,DGP,171404,DF5SCHPVANA,DF5S,CHP,VANA,PVANA,339033,PASSAGENS E DESPESAS COM LOCOMOCAO,33903302,PASSAGENS PARA O EXTERIOR,2024NE000854,2024,2024-07-17,160129000012024NE000854,14807420000199,FACTO TURISMO  LTDA,SP,ANO,111,MG,1000000000,PREGAO,GLOBAL,2,PRIMARIO DISCRICIONARIO,A,INICIAL (LOA),000A,000000000000,SEM EMENDA,ESA,COMANDO DO EXERCITO,52121,20743.2,0.0,20743.2,0.0
187,160129,ESA,4º CGCFEx,4ª RM,CML,Três Corações,MG,0032,2000,ADMINISTRACAO DA UNIDADE,160505,DGP,171404,DF5SCHPVANA,DF5S,CHP,VANA,PVANA,339033,PASSAGENS E DESPESAS COM LOCOMOCAO,33903302,PASSAGENS PARA O EXTERIOR,2024NE000882,2024,2024-07-29,160129000012024NE000882,14807420000199,FACTO TURISMO  LTDA,SP,ANO,99,MG,1000000000,PREGAO,GLOBAL,2,PRIMARIO DISCRICIONARIO,A,INICIAL (LOA),000A,000000000000,SEM EMENDA,ESA,COMANDO DO EXERCITO,52121,0.0,23.54,23.54,80053.18
188,160129,ESA,4º CGCFEx,4ª RM,CML,Três Corações,MG,0032,2000,ADMINISTRACAO DA UNIDADE,160505,DGP,171404,DF5SCHPVANA,DF5S,CHP,VANA,PVANA,339033,PASSAGENS E DESPESAS COM LOCOMOCAO,33903302,PASSAGENS PARA O EXTERIOR,2024NE001205,2024,2024-10-09,160129000012024NE001205,14807420000199,FACTO TURISMO  LTDA,SP,ANO,27,MG,1000000000,PREGAO,GLOBAL,2,PRIMARIO DISCRICIONARIO,A,INICIAL (LOA),000A,000000000000,SEM EMENDA,ESCOLA DE SARGENTOS DAS ARMAS,COMANDO DO EXERCITO,52121,24000.0,0.0,24000.0,0.0
189,160129,ESA,4º CGCFEx,4ª RM,CML,Três Corações,MG,0032,2000,ADMINISTRACAO DA UNIDADE,160505,DGP,171404,DF5SCHPVANA,DF5S,CHP,VANA,PVANA,339033,PASSAGENS E DESPESAS COM LOCOMOCAO,33903302,PASSAGENS PARA O EXTERIOR,2024NE001257,2024,2024-10-24,160129000012024NE001257,14807420000199,FACTO TURISMO  LTDA,SP,ANO,12,MG,1000000000,PREGAO,GLOBAL,2,PRIMARIO DISCRICIONARIO,A,INICIAL (LOA),000A,000000000000,SEM EMENDA,ESA,COMANDO DO EXERCITO,52121,9470.22,0.0,9470.22,0.0
